transaction_id,date,amount,category,merchant,payment_method,location,income,monthly_budget,savings,investment,transaction_type,is_anomaly
45,2023-06-29 07:29:33,5731.04,Travel,Uber,UPI,Bangalore,183417.0,134272.04,35810.45,41329.92,expense,0
46,2026-01-19 18:31:17,13762.75,Healthcare,MediLab,Debit Card,Hyderabad,183417.0,134272.04,35810.45,41329.92,expense,0
47,2024-01-26 02:28:43,12562.92,Healthcare,Apollo Pharmacy,Net Banking,Hyderabad,130891.0,91136.93,44666.13,20889.47,expense,0
48,2024-06-02 03:53:20,15177.97,Healthcare,City Hospital,Credit Card,Chennai,164752.0,130455.28,30383.32,39103.23,expense,0
49,2025-05-21 08:07:25,4638.24,Education,Online Courses,Net Banking,Hyderabad,34337.0,21146.18,7045.9,4143.46,expense,0
50,2024-07-27 13:22:10,13272.63,Shopping,Flipkart,Credit Card,Hyderabad,27869.0,19701.95,9712.44,2374.02,expense,0
51,2024-07-09 20:05:42,17500.95,Healthcare,City Hospital,Credit Card,Mumbai,159869.0,138884.62,18090.6,15536.26,expense,0
52,2025-08-22 03:56:17,340.39,Entertainment,BookMyShow,Net Banking,Hyderabad,58591.0,43060.26,11589.93,12328.83,expense,0
53,2023-10-06 15:03:00,144896.77,Shopping,Lifestyle Store,Credit Card,Delhi,213926.0,185622.05,51301.59,25680.46,income,0
54,2025-12-25 09:32:45,74479.53,Bills,Gas Utility,Net Banking,Mumbai,71197.0,59623.22,7822.45,15612.82,income,0
55,2024-06-27 04:12:39,238514.36,Bills,Water Supply,UPI,Bangalore,218664.0,135473.39,17819.14,46595.61,income,0
56,2024-03-08 19:04:29,8489.21,Bills,Electricity Board,UPI,Delhi,85566.0,70459.63,9466.63,20209.48,expense,0
57,2024-05-29 10:09:42,20791.24,Investment,Mutual Fund SIP,Cash,Remote,218752.0,194573.35,67238.26,47614.82,expense,0
58,2024-02-17 09:18:12,137819.39,Healthcare,Apollo Pharmacy,Net Banking,Bangalore,178471.0,144643.55,49017.73,19919.53,income,0
59,2025-03-05 11:14:01,3161.25,Entertainment,Netflix,Cash,Delhi,209245.0,153082.24,50144.39,27160.11,expense,0
60,2026-01-06 01:25:50,146324.72,Bills,Electricity Board,UPI,Mumbai,149450.0,130657.75,41073.5,8910.05,income,0
61,2023-04-19 16:48:45,168552.92,Bills,Broadband Provider,Credit Card,Mumbai,171922.0,145487.75,58094.82,13914.41,income,0
62,2025-02-26 18:53:50,4549.89,Travel,IRCTC,UPI,Remote,180286.0,107237.01,21817.08,14020.02,expense,0
63,2023-10-26 00:19:01,15706.99,Healthcare,Health Clinic,Debit Card,Hyderabad,44029.0,35219.78,9394.69,8846.62,expense,0
64,2024-04-12 12:13:28,2051.22,Shopping,Mega Mall,Cash,Hyderabad,118070.0,84426.15,22574.64,14141.68,expense,0
65,2024-10-29 19:23:30,105989.51,Healthcare,MediLab,Credit Card,Mumbai,114613.0,86956.25,16286.78,8494.36,income,0
66,2026-02-17 06:37:53,9666.93,Bills,Water Supply,Net Banking,Hyderabad,208675.0,173255.01,71849.2,45482.34,expense,0
67,2025-11-11 03:38:26,1840.99,Entertainment,Spotify,Debit Card,Chennai,131308.0,101278.78,32965.27,20635.7,expense,0
68,2024-01-16 08:23:29,54122.68,Shopping,Amazon,UPI,Chennai,46689.0,26619.53,10662.5,6457.37,income,0
69,2025-02-06 23:43:00,1922.59,Bills,Gas Utility,Net Banking,Remote,184024.0,103567.31,38177.26,29990.06,expense,0
70,2023-12-06 22:59:20,1412.12,Food,Zomato,Net Banking,Chennai,29748.0,20580.28,6969.89,5895.9,expense,0
71,2023-07-27 03:14:31,7190.97,Bills,Gas Utility,Net Banking,Chennai,84129.0,47189.14,12687.6,14219.11,expense,0
72,2026-01-22 08:28:36,9378.43,Entertainment,Game Zone,Debit Card,Delhi,94626.0,83908.15,27754.15,17800.29,transfer,0
73,2024-11-30 03:49:00,10768.5,Shopping,Lifestyle Store,Net Banking,Remote,114613.0,86956.25,16286.78,8494.36,expense,0
74,2025-08-31 14:52:31,99884.64,Healthcare,MediLab,Net Banking,Hyderabad,105219.0,93304.04,19067.27,11273.42,income,0
75,2024-06-05 17:18:13,11777.79,Healthcare,Overseas Gateway,Credit Card,Remote,164649.0,117393.92,34547.64,38476.98,expense,1
76,2025-12-14 00:19:27,9503.28,Shopping,Flipkart,Net Banking,Bangalore,95342.0,85786.23,21935.12,13790.46,expense,0
77,2024-12-24 18:55:01,2783.94,Investment,Gold Savings,Cash,Mumbai,39397.0,28515.41,7296.2,4315.04,expense,0
78,2025-12-16 10:58:35,34989.94,Investment,Mutual Fund SIP,Cash,Delhi,198629.0,153280.27,62626.6,41857.97,expense,0
79,2024-08-28 19:45:21,1462.88,Food,Fresh Mart,UPI,Mumbai,156878.0,134552.91,52566.31,22508.9,expense,0
80,2024-02-28 23:45:57,9719.9,Bills,Gas Utility,Debit Card,Delhi,115600.0,101776.64,10478.59,22092.9,expense,0
81,2026-01-29 23:26:19,3798.33,Entertainment,BookMyShow,Net Banking,Remote,127870.0,71860.36,38907.86,15221.44,expense,0
82,2025-05-26 00:18:43,141970.96,Food,LatePay Online,Credit Card,Delhi,134575.0,75292.51,18831.41,12948.13,income,1
83,2023-03-20 02:44:49,856.51,Shopping,Lifestyle Store,Debit Card,Delhi,208734.0,170445.27,30091.54,40837.4,expense,0
84,2024-08-11 22:50:59,1335.39,Education,Exam Center,UPI,Mumbai,118070.0,84426.15,22574.64,14141.68,expense,0
85,2025-04-17 22:59:59,2927.08,Travel,Uber,Credit Card,Delhi,169071.0,118055.33,26669.43,29247.6,expense,0
86,2023-02-18 04:52:55,4164.82,Travel,Ola,Credit Card,Remote,125776.0,84031.75,40613.67,21571.97,expense,0
87,2025-01-05 15:38:09,101354.24,Shopping,Amazon,Credit Card,Bangalore,100353.0,67158.09,15091.84,14973.42,income,0
88,2024-07-27 01:24:32,8571.99,Education,Online Courses,UPI,Remote,108691.0,97216.41,31241.47,14516.05,transfer,0
89,2024-04-29 14:36:32,13072.35,Travel,Airline Booking,Debit Card,Hyderabad,108613.0,61298.31,20384.67,14847.85,transfer,0
90,2025-12-08 19:58:17,5326.9,Bills,Water Supply,Debit Card,Chennai,175168.0,118129.25,32528.73,27391.28,transfer,0
91,2023-07-08 01:15:35,15998.79,Healthcare,Apollo Pharmacy,Cash,Remote,217506.0,133994.02,33777.65,41341.71,expense,0
92,2025-10-02 22:09:44,3529.67,Entertainment,Spotify,Cash,Chennai,107152.0,77626.78,11086.85,16868.01,expense,0
93,2024-07-16 15:20:55,18019.7,Education,Tuition Institute,Credit Card,Chennai,27747.0,18818.75,5636.49,5744.61,income,0
94,2025-01-21 02:05:36,13769.74,Healthcare,Health Clinic,Cash,Hyderabad,151141.0,98285.4,36202.05,8479.02,expense,0
95,2023-05-15 15:01:37,62082.1,Healthcare,Health Clinic,UPI,Mumbai,81264.0,65863.45,11011.8,16866.99,income,0
96,2025-02-06 21:04:55,38083.68,Investment,ETF Platform,Credit Card,Mumbai,29748.0,20580.28,6969.89,5895.9,expense,0
97,2024-03-10 01:40:45,925.08,Entertainment,LatePay Online,UPI,Mumbai,51646.0,29274.02,17366.97,11741.0,expense,1
98,2026-01-23 14:19:45,4891.01,Bills,Gas Utility,Debit Card,Chennai,135017.0,75412.43,42520.46,7325.2,expense,0
99,2025-09-30 09:00:19,9492.54,Bills,Gas Utility,Net Banking,Remote,145307.0,129481.84,42216.75,10585.26,expense,0
100,2024-09-20 05:10:00,126715.73,Travel,Ola,Credit Card,Mumbai,128892.0,94131.22,44261.02,18276.6,income,0
101,2025-04-04 18:12:15,2108.45,Entertainment,Spotify,Cash,Delhi,95390.0,69945.75,25599.18,19964.59,expense,0
102,2024-02-25 20:29:47,29527.34,Entertainment,Spotify,Net Banking,Mumbai,52306.0,45832.68,12165.64,9903.1,transfer,0
103,2026-02-28 00:36:48,4684.01,Bills,Water Supply,Credit Card,Mumbai,26542.0,18556.36,3718.42,3432.69,expense,0
104,2025-03-25 23:52:48,22437.2,Education,Exam Center,Cash,Mumbai,116680.0,82888.13,26523.29,27804.02,expense,0
105,2023-10-06 18:03:56,136611.12,Healthcare,Apollo Pharmacy,UPI,Bangalore,187688.0,109344.4,60482.13,43183.93,income,0
106,2024-03-29 19:38:36,143.59,Food,Zomato,Cash,Chennai,168326.0,140097.12,43406.48,31721.93,expense,0
107,2024-12-30 04:23:11,1012.33,Food,Fresh Mart,UPI,Hyderabad,204357.0,147259.84,65706.72,42909.05,expense,0
108,2023-06-27 05:28:36,615.94,Food,Swiggy,Net Banking,Mumbai,164649.0,117393.92,34547.64,38476.98,expense,0
109,2025-05-24 08:10:51,1310.1,Food,Cafe House,Debit Card,Bangalore,79917.0,53263.52,22156.85,15083.82,expense,0
110,2025-07-30 21:09:37,29061.71,Travel,Ola,Debit Card,Hyderabad,131308.0,101278.78,32965.27,20635.7,transfer,0
111,2024-10-28 03:56:06,5289.72,Education,Exam Center,Cash,Mumbai,203376.0,166731.56,22123.55,13225.04,expense,0
112,2024-02-16 02:43:21,7014.67,Travel,Uber,Debit Card,Bangalore,137573.0,104031.05,21304.79,31926.27,expense,0
113,2024-09-26 14:38:20,6324.48,Travel,Airline Booking,Credit Card,Bangalore,138632.0,116416.8,21254.59,33694.56,expense,0
114,2025-12-28 01:16:32,7938.3,Bills,Gas Utility,UPI,Mumbai,101218.0,73578.17,24359.45,11928.97,expense,0
115,2025-10-24 02:41:25,16973.27,Healthcare,City Hospital,Cash,Remote,38545.0,25754.43,12896.6,4418.82,expense,0
116,2024-02-17 15:29:46,7849.22,Bills,Water Supply,Debit Card,Remote,52306.0,45832.68,12165.64,9903.1,expense,0
117,2024-03-24 08:10:57,12711.3,Healthcare,Health Clinic,Cash,Hyderabad,38545.0,25754.43,12896.6,4418.82,expense,0
118,2024-02-27 22:04:25,3059.28,Healthcare,Health Clinic,Net Banking,Remote,161672.0,99967.46,44469.84,17162.21,expense,0
119,2025-07-26 20:04:33,145.54,Food,Cafe House,UPI,Delhi,122945.0,81970.47,23052.87,19361.27,expense,0
120,2025-06-14 04:02:41,1389.19,Food,Swiggy,UPI,Remote,103953.0,77829.1,9195.12,22709.26,expense,0
121,2025-06-28 06:40:12,15722.94,Education,Tuition Institute,Debit Card,Mumbai,92215.0,55838.6,10369.07,10916.04,expense,0
122,2024-06-01 18:38:15,14704.91,Education,Online Courses,Net Banking,Mumbai,204357.0,147259.84,65706.72,42909.05,transfer,0
123,2025-05-04 13:05:17,3638.86,Education,Online Courses,Net Banking,Mumbai,195806.0,117174.93,22682.41,47758.53,expense,0
124,2024-09-19 20:44:17,2941.12,Healthcare,Apollo Pharmacy,Credit Card,Mumbai,49442.0,41033.09,8619.45,7102.16,expense,0
125,2024-07-16 00:06:43,1059.79,Food,Fresh Mart,Cash,Bangalore,69813.0,41342.06,19364.48,6179.83,expense,0
126,2023-07-23 12:31:37,4872.75,Bills,Broadband Provider,Cash,Mumbai,162855.0,102372.56,32922.55,12730.6,expense,0
127,2025-09-05 16:55:58,110030.45,Education,Book Store,Credit Card,Chennai,122945.0,81970.47,23052.87,19361.27,income,0
128,2023-05-25 19:05:27,189.89,Food,Zomato,Net Banking,Hyderabad,112235.0,94805.81,14869.19,14845.41,expense,0
129,2025-02-13 04:47:07,4864.79,Travel,IRCTC,Debit Card,Remote,63467.0,40176.97,10653.44,12648.86,expense,0
130,2024-01-14 14:56:48,11490.74,Investment,Gold Savings,Net Banking,Delhi,60737.0,42001.67,17501.13,8163.49,expense,0
131,2023-08-01 01:23:59,8178.03,Bills,Electricity Board,Cash,Hyderabad,119071.0,87972.27,34946.77,13544.39,expense,0
132,2024-02-20 00:55:07,13104.12,Investment,Mutual Fund SIP,Cash,Mumbai,164487.0,147191.21,29890.5,32883.53,expense,0
133,2025-04-16 15:44:21,11816.33,Education,Tuition Institute,Net Banking,Bangalore,203998.0,173939.47,61093.99,50987.98,expense,0
134,2023-10-21 01:28:12,1453.2,Investment,Brokerage Account,UPI,Delhi,129592.0,86829.8,26951.49,15683.34,expense,0
135,2025-01-04 17:49:57,3825.43,Investment,Gold Savings,UPI,Chennai,191472.0,112645.59,35564.04,14338.86,expense,0
136,2023-07-16 02:48:07,14658.2,Shopping,Lifestyle Store,Debit Card,Delhi,149450.0,130657.75,41073.5,8910.05,transfer,0
137,2024-12-10 19:30:48,145457.74,Education,Book Store,Net Banking,Chennai,187688.0,109344.4,60482.13,43183.93,income,0
138,2024-02-16 16:45:55,49139.6,Shopping,Mega Mall,UPI,Chennai,44029.0,35219.78,9394.69,8846.62,income,0
139,2025-04-20 10:32:20,47318.67,Investment,Mutual Fund SIP,Net Banking,Mumbai,75859.0,53611.38,17393.04,12785.23,income,0
140,2024-11-05 03:37:44,9869.89,Healthcare,Apollo Pharmacy,Credit Card,Bangalore,53295.0,36293.62,9597.01,11328.38,expense,0
141,2024-05-18 21:33:50,2546.14,Healthcare,Apollo Pharmacy,Credit Card,Chennai,187688.0,109344.4,60482.13,43183.93,expense,0
142,2025-04-05 03:18:56,10439.76,Investment,Gold Savings,Debit Card,Bangalore,119074.0,78317.59,35772.71,29005.8,expense,0
143,2023-05-03 16:09:12,14806.61,Shopping,Mega Mall,Debit Card,Bangalore,159502.0,116896.1,44295.84,8081.85,expense,0
144,2025-09-17 22:48:30,2566.19,Shopping,Lifestyle Store,Net Banking,Bangalore,50289.0,43611.83,5532.96,7469.17,expense,0
145,2025-11-18 15:09:53,798.44,Food,Zomato,UPI,Delhi,162717.0,114596.21,30624.32,26348.45,expense,0
146,2025-09-19 13:21:40,3167.15,Entertainment,Game Zone,UPI,Hyderabad,93840.0,64875.6,9151.36,9457.48,expense,0
147,2025-01-20 15:18:08,14198.07,Healthcare,Apollo Pharmacy,Net Banking,Bangalore,154695.0,115186.17,25853.45,9077.53,expense,0
148,2025-12-22 07:00:49,2886.31,Entertainment,Spotify,UPI,Hyderabad,213926.0,185622.05,51301.59,25680.46,expense,0
149,2025-05-29 03:21:46,10130.61,Investment,Mutual Fund SIP,Debit Card,Mumbai,149358.0,114034.66,45548.61,12646.58,transfer,0
150,2024-07-01 07:28:38,92515.87,Healthcare,City Hospital,Net Banking,Bangalore,141739.0,84518.49,45803.6,26681.57,income,0
151,2025-09-01 17:20:01,5584.09,Shopping,Amazon,Credit Card,Remote,154695.0,115186.17,25853.45,9077.53,expense,0
152,2026-02-11 16:21:04,82490.55,Food,Swiggy,Net Banking,Hyderabad,127468.0,113830.38,27151.56,14754.46,income,0
153,2023-07-25 07:16:27,16480.01,Investment,ETF Platform,Debit Card,Bangalore,150917.0,129310.03,28514.31,11590.89,expense,0
154,2025-01-18 12:35:20,3087.96,Healthcare,MediLab,UPI,Bangalore,94626.0,83908.15,27754.15,17800.29,expense,0
155,2023-12-17 11:31:31,144989.55,Education,Tuition Institute,Credit Card,Chennai,143033.0,101066.31,32011.74,14087.91,income,0
156,2025-04-13 12:51:56,382544.25,Investment,Chandran-Suri,UPI,Chennai,54430.0,33469.85,9997.17,12873.67,expense,1
157,2025-09-18 22:50:31,4402.93,Healthcare,MediLab,Net Banking,Hyderabad,49442.0,41033.09,8619.45,7102.16,expense,0
158,2025-05-22 02:47:03,4853.08,Education,Exam Center,Cash,Chennai,209423.0,159632.72,17273.88,14721.24,expense,0
159,2025-10-05 13:24:03,3330.54,Education,Tuition Institute,UPI,Remote,127795.0,84987.84,33428.61,25619.69,expense,0
160,2023-06-30 09:17:07,991.0,Food,Swiggy,Net Banking,Mumbai,178471.0,144643.55,49017.73,19919.53,expense,0
161,2024-07-30 08:18:42,32987.03,Shopping,Mega Mall,Credit Card,Delhi,53295.0,36293.62,9597.01,11328.38,income,0
162,2024-09-25 23:39:46,60159.92,Travel,Uber,UPI,Delhi,95313.0,79863.73,16894.37,7187.75,income,0
163,2023-06-04 08:12:31,13899.37,Education,Exam Center,UPI,Bangalore,152534.0,121650.52,43823.09,10289.64,expense,0
164,2024-03-04 13:36:20,74972.73,Entertainment,Netflix,Net Banking,Chennai,66786.0,58804.62,13894.02,14853.78,income,0
165,2023-02-03 04:15:49,7426.78,Bills,Electricity Board,Cash,Remote,49442.0,41033.09,8619.45,7102.16,expense,0
166,2023-04-17 13:58:18,12125.06,Shopping,Flipkart,Debit Card,Hyderabad,164789.0,126292.5,29597.21,23483.58,expense,0
167,2025-07-14 19:48:21,70728.09,Bills,Broadband Provider,Net Banking,Mumbai,64954.0,44572.77,5386.39,15009.34,income,0
168,2025-10-23 22:00:54,26897.09,Healthcare,City Hospital,UPI,Bangalore,35647.0,30999.85,7773.27,5357.86,transfer,0
169,2023-01-25 12:21:41,5928.33,Bills,Water Supply,UPI,Hyderabad,144346.0,98712.7,49867.55,20692.37,expense,0
170,2023-04-09 17:36:55,32874.61,Investment,Gold Savings,Credit Card,Hyderabad,187993.0,120894.21,33329.88,19173.4,expense,0
171,2023-12-11 03:58:24,3892.39,Travel,Uber,Cash,Delhi,128892.0,94131.22,44261.02,18276.6,expense,0
172,2024-09-15 04:12:10,1001.01,Food,24x7 Store,Net Banking,Chennai,171922.0,145487.75,58094.82,13914.41,expense,1
173,2024-05-15 09:11:56,13538.94,Education,Book Store,Credit Card,Chennai,209423.0,159632.72,17273.88,14721.24,expense,0
174,2025-04-04 04:35:33,3711.63,Entertainment,Spotify,Cash,Delhi,171779.0,115900.02,55801.32,17938.27,expense,0
175,2025-10-14 01:28:05,4183.57,Investment,Brokerage Account,Credit Card,Chennai,49442.0,41033.09,8619.45,7102.16,expense,0
176,2024-12-05 11:39:52,1543.17,Bills,Gas Utility,UPI,Delhi,159869.0,138884.62,18090.6,15536.26,expense,0
177,2025-10-30 05:01:06,1386.1,Entertainment,Spotify,UPI,Delhi,39382.0,27297.02,11358.09,2065.22,expense,0
178,2023-05-13 14:36:50,26217.62,Education,Tuition Institute,UPI,Chennai,45128.0,30652.32,9145.3,7207.87,transfer,0
179,2023-04-04 04:15:10,1252.23,Entertainment,Spotify,Cash,Bangalore,46918.0,40211.95,7021.01,8538.93,expense,0
180,2024-03-22 19:36:05,39058.74,Investment,ETF Platform,Credit Card,Remote,74377.0,50020.57,18904.99,13669.36,expense,0
181,2023-12-15 08:27:16,4032.06,Bills,Electricity Board,Net Banking,Bangalore,151394.0,102135.52,52436.69,25911.83,expense,0
182,2025-06-10 19:59:58,135060.67,Entertainment,Game Zone,Net Banking,Chennai,125776.0,84031.75,40613.67,21571.97,income,0
183,2023-02-14 23:27:10,15196.77,Food,Cafe House,UPI,Hyderabad,86916.0,48947.52,18212.46,14441.22,transfer,0
184,2023-08-11 12:48:09,242851.11,Entertainment,Global Travel Pay,Credit Card,Remote,127468.0,113830.38,27151.56,14754.46,expense,1
185,2023-12-01 04:44:06,419.84,Food,Fresh Mart,Cash,Chennai,214125.0,156046.07,41262.1,20218.02,expense,0
186,2026-01-25 23:02:51,14946.84,Shopping,Lifestyle Store,UPI,Mumbai,96315.0,59094.95,31329.5,16053.63,expense,0
187,2025-08-17 18:40:37,1464.71,Food,Swiggy,Debit Card,Bangalore,134996.0,91003.2,21269.23,14749.88,expense,0
188,2024-11-17 16:36:06,26362.7,Investment,Gold Savings,Cash,Delhi,75859.0,53611.38,17393.04,12785.23,expense,0
189,2023-06-22 06:16:13,1996.57,Travel,IRCTC,Net Banking,Mumbai,154473.0,89433.99,48921.38,24764.74,expense,0
190,2024-09-06 00:29:14,13764.45,Healthcare,Apollo Pharmacy,Debit Card,Chennai,157351.0,116945.86,31116.82,17134.45,expense,0
191,2024-03-25 15:22:16,1649.79,Bills,Broadband Provider,UPI,Bangalore,25769.0,20684.77,8591.62,1292.46,expense,0
192,2024-08-13 15:09:39,2195.45,Investment,Brokerage Account,Debit Card,Bangalore,72333.0,49735.03,23208.23,12747.08,expense,0
193,2026-02-26 17:18:21,1436.88,Entertainment,Netflix,Net Banking,Chennai,194315.0,140748.53,19069.56,25464.91,expense,0
194,2024-10-28 20:52:41,3969.67,Travel,Airline Booking,Cash,Mumbai,81264.0,65863.45,11011.8,16866.99,expense,0
195,2023-09-24 23:53:47,34862.63,Investment,Gold Savings,UPI,Chennai,195738.0,146397.92,53508.57,33237.46,expense,0
196,2025-07-03 18:42:46,5953.77,Travel,Airline Booking,Net Banking,Bangalore,184818.0,157636.35,55558.04,18773.92,expense,0
197,2023-12-11 04:48:18,14982.78,Healthcare,MediLab,UPI,Remote,193976.0,134712.01,52437.51,32909.43,expense,0
198,2023-10-29 05:15:14,3691.2,Travel,IRCTC,Cash,Hyderabad,41896.0,29529.28,6064.14,2881.38,expense,0
199,2023-08-16 11:50:10,5516.06,Shopping,Lifestyle Store,Credit Card,Bangalore,125776.0,84031.75,40613.67,21571.97,expense,0
200,2023-10-03 04:29:10,5880.06,Shopping,Mega Mall,Credit Card,Remote,52350.0,30096.85,8696.56,11463.34,expense,0
201,2025-09-25 20:28:22,24701.12,Education,Exam Center,Cash,Remote,73770.0,50212.16,11294.27,13190.07,expense,0
202,2025-09-07 19:44:36,800.82,Travel,IRCTC,Net Banking,Delhi,49071.0,30081.68,13153.75,6493.68,expense,0
203,2024-04-27 04:50:36,4361.75,Entertainment,Game Zone,Credit Card,Hyderabad,193964.0,108470.19,35232.61,41141.83,expense,0
204,2025-09-28 10:54:28,2977.64,Entertainment,Netflix,Credit Card,Mumbai,176878.0,134141.58,17353.62,35374.2,expense,0
205,2025-10-09 14:15:42,714.06,Food,Zomato,Cash,Delhi,202900.0,158822.58,25839.36,47251.84,expense,0
206,2023-06-10 18:49:46,11016.24,Shopping,Lifestyle Store,Net Banking,Chennai,61668.0,34603.87,14069.75,9674.77,expense,0
207,2026-01-04 06:02:57,7556.7,Shopping,Mega Mall,Debit Card,Chennai,131308.0,101278.78,32965.27,20635.7,expense,0
208,2024-03-15 11:02:13,13164.64,Shopping,Mega Mall,UPI,Mumbai,122945.0,81970.47,23052.87,19361.27,expense,0
